loss,acc,val_loss,val_acc
3.4269025756957685,23.909575,2.6003316251855146,44.468422
2.549572480485794,46.775265,2.1681893524370697,59.147366
2.254259284506453,56.00266,2.0347055761437667,62.615788
2.103616029658216,60.615692,1.910312146889536,66.62631
2.003698451721922,64.00798,2.0275511503219605,63.213158
1.9286669461016959,66.30851,1.7698499729758814,71.52368
1.8686798887049898,68.32181,1.773471424454137,70.72894
1.8252441718223247,69.80851,1.6917190852918123,73.9
1.7877220492413703,71.210106,1.6491285763288799,75.231575
1.7497725042890995,72.21276,1.6580361956044247,74.4
1.7276890702704166,73.039894,1.606767581638537,76.83684
1.6979437286549426,73.97872,1.6046282680411088,76.90789
1.6727022091124921,74.67154,1.5927971262680858,76.97894
1.6504479348659515,75.569145,1.5746525777013678,77.81579
1.641348419671363,75.79654,1.538104238008198,79.20526
1.6189139066858496,76.59973,1.5592765030108,78.42368
1.6063153528152627,76.97074,1.5538589025798597,78.30789
1.5921873164937852,77.54521,1.521552650552047,79.834206
1.5798013476615256,77.885635,1.5375327022452103,79.21579
1.5644313610614615,78.45744,1.523532674187108,79.334206
1.5585600118687812,78.53059,1.530717642683732,79.573685
1.544664151491003,79.04521,1.5249528006503457,79.27368
1.5352503486136173,79.56383,1.4923735668784694,80.48947
1.5204000923227756,79.8617,1.4790753113596062,80.70263
1.5122134419197732,80.235374,1.505245317910847,80.25263
1.5087599411923835,80.24335,1.47452239613784,81.16842
1.5009177790043202,80.55851,1.4740078963731464,81.09737
1.4907513913956094,80.95479,1.4723116937436556,81.16842
1.483120934126225,81.3883,1.4694461822509766,81.436844
1.4766581882821752,81.52526,1.4458455612784937,82.15
1.4709042412169435,81.69548,1.459016361989473,81.66842
1.4651999093116599,81.88696,1.4548263963900114,81.7579
1.45831461726351,82.00133,1.4470533860357184,81.81579
1.4522623096374756,82.32048,1.4289725780487061,82.426315
1.4497521538683709,82.54122,1.4404282607530292,82.07105
1.4438970868891858,82.65691,1.438118382504112,82.368416
1.4321410047247054,83.0625,1.4277004342330128,82.42368
1.4354677663204518,82.97074,1.429028810952839,82.7579
1.4216219567238015,83.44149,1.419234814141926,82.868416
1.4180545825907525,83.62101,1.4439537826337312,81.878944
1.4173649625575289,83.66356,1.4620600650185034,81.35
1.4094635806185134,83.93351,1.4172116467827245,82.88684
1.405060445374631,84.05718,1.4422724221882066,82.255264
1.4049044473374144,83.87899,1.4791809332998176,81.063156
1.3957587601022516,84.41223,1.413465592735692,83.05789
1.395808980820027,84.42021,1.4099351594322607,83.176315
1.3927390093499041,84.48271,1.431548049575404,82.60263
1.3923379994453269,84.54521,1.4059090827640734,83.08947
1.3805261926448091,84.94282,1.4055319371976351,83.41842
1.380198802719725,85.01729,1.3911446458414982,83.89737
1.3778726902413876,85.002655,1.4000657169442428,83.48684
1.3735249809762264,85.07446,1.3961834681661505,83.77631
1.3692913987535111,85.32048,1.393701962420815,83.99737
1.368342989936788,85.319145,1.4138641093906603,82.92895
1.3644115975562563,85.50931,1.4012064205972772,83.471054
1.3620236122861822,85.56782,1.4056956303747077,83.392105
1.3576699184610488,85.74069,1.407949948310852,83.334206
1.352693293322908,86.010635,1.3889060095736856,84.17895
1.3511901440772605,86.05186,1.3988338307330483,83.65
1.3526922502416245,85.9242,1.4063122297588149,83.54474
1.2701609293197065,89.24335,1.3206888625496311,86.17895
1.24729644998591,90.077126,1.3137165609158967,86.42105
